question,label
넷째 주 토요일부터 수요일까지 게임하기 실행하다,B-Date I-Date E-Date S-Date S-Subject S-Action
월요일 수요일 금요일 울리다,B-Date I-Date E-Date S-Action
엿새 후 일정 잡다 노래 부르러 가기,B-Date E-Date O S-Action B-Subject I-Subject E-Subject
이십구일부터 12일까지 일정 정해,S-Date S-Date O S-Action
오월 10일 일정 휴가 응답하다,B-Date E-Date O S-Subject S-Action
4일 열여섯시 3분 춤추러 가기 일정 때리다,S-Date B-Time E-Time B-Subject E-Subject O S-Action
칠월 9일부터 1월 십이일까지 식물에 물 주기 일정 짜다,B-Date E-Date B-Date E-Date B-Subject I-Subject E-Subject O S-Action
일요일 3시 오십삼분에 일정 때리다 전구 교체하기,S-Date B-Time E-Time O S-Action B-Subject E-Subject
첫째 주 수요일부터 일요일까지 알다,B-Date I-Date E-Date S-Date S-Action
이천이십일년 일월 이일부터 2027년 십월 삼일까지 일정 지정해주다 등산하러 가기,B-Date I-Date E-Date B-Date I-Date E-Date O S-Action B-Subject E-Subject
17일 휴가 말해주다,S-Date S-Subject S-Action
이천이십팔년 구월 31일 일정 때리다 등산하러 가기,B-Date I-Date E-Date O S-Action B-Subject E-Subject
화요일 목요일 토요일 일정 넣다 치과 가기,B-Date I-Date E-Date O S-Action B-Subject E-Subject
10월 30일부터 6월 사일까지 일정 알다 장 보기,B-Date E-Date B-Date E-Date O S-Action B-Subject E-Subject
이천이십칠년 2월 17일부터 2027년 8월 삼일까지 짜다,B-Date I-Date E-Date B-Date I-Date E-Date S-Action
7월 6일 물 마시기 울리다,B-Date E-Date B-Subject E-Subject S-Action
삼일 후 짜다 술 마시기,B-Date E-Date S-Action B-Subject E-Subject
이천이십사년 삼월 삼일 일정 때리다 시내 가기,B-Date I-Date E-Date O S-Action B-Subject E-Subject
1월 십팔일 잡다,B-Date E-Date S-Action
5일 이십일시 45분쯤 등산하러 가기 일정 맞추다,S-Date B-Time E-Time B-Subject E-Subject O S-Action
10월 십칠일부터 팔월 오일까지 일정 실행하다,B-Date E-Date B-Date E-Date O S-Action
일요일 빨래하기 일정 등록하다,S-Date S-Subject O S-Action
26일 에버랜드 가기 때리다,S-Date B-Subject E-Subject S-Action
이천이십팔년 6월 5일 짜다,B-Date I-Date E-Date S-Action
구월 셋째 주부터 마지막 주까지 회의 짜다,B-Date I-Date E-Date B-Date E-Date S-Subject S-Action
둘째 주 빨래하기 맞추다,B-Date E-Date S-Subject S-Action
일월 넷째 주부터 주까지 일정 설정하다,B-Date B-Date E-Date E-Date O S-Action
2024년 이월 십팔일부터 이천이십칠년 5월 1일까지 빨래하기 일정 짜다,B-Date I-Date E-Date B-Date I-Date E-Date S-Subject O S-Action
9월 셋째 주 월요일부터 화요일까지 일정 설정하다 카페 가기,B-Date I-Date I-Date E-Date S-Date O S-Action B-Subject E-Subject
4일 일정 등록하다,S-Date O S-Action
이천이십팔년 2월 사일 헬스장 가기 잡다,B-Date I-Date E-Date B-Subject E-Subject S-Action
11월 첫째 주부터 둘째 주까지 물 마시기 일정 등록하다,B-Date I-Date E-Date B-Date E-Date B-Subject E-Subject O S-Action
1월 셋째 주부터 넷째 주까지 옷 사기 일정 맞추다,B-Date I-Date E-Date B-Date E-Date B-Subject E-Subject O S-Action
넷째 주 일정 운동하러 가기 정해,B-Date E-Date O B-Subject E-Subject S-Action
10월 첫째 주부터 둘째 주까지 산책하기 맞추다,B-Date I-Date E-Date B-Date E-Date S-Subject S-Action
16일부터 25일까지 일정 옷 사기 실행하다,S-Date S-Date O B-Subject E-Subject S-Action
금요일 토요일 오전 일곱시 사십오분 일정 출근하기 등록하다,B-Date E-Date B-Time I-Time E-Time O S-Subject S-Action
엿새 뒤 파티하기 올리다,B-Date E-Date S-Subject S-Action
십이월 둘째 주 한강 가기 추가하다,B-Date I-Date E-Date B-Subject E-Subject S-Action
모레 일정 청소하기 울리다,S-Date O S-Subject S-Action
첫째 주 말해주다 한강 가기,B-Date E-Date S-Action B-Subject E-Subject
둘째 주 금요일부터 목요일까지 옷 사기 일정 짜다,B-Date I-Date E-Date S-Date B-Subject E-Subject O S-Action
삼일 후 일정 추가하다 출근하기,B-Date E-Date O S-Action S-Subject
6월 첫째 주 일요일부터 금요일까지 일정 올리다 세포 밥 주기,B-Date I-Date I-Date E-Date S-Date O S-Action B-Subject I-Subject E-Subject
월요일 정오 18분 후 일정 월차 알다,S-Date B-Time I-Time E-Time O S-Subject S-Action
이주일 후 짜다,B-Date E-Date S-Action
마지막 주 옷 사기 정해,B-Date E-Date B-Subject E-Subject S-Action
25일 후 오후 아홉시 일정 식물에 물 주기 지정해주다,B-Date E-Date B-Time E-Time O B-Subject I-Subject E-Subject S-Action
토요일 일요일 이십사시 34분쯤 일정 밥 먹기 짜다,B-Date E-Date B-Time E-Time O B-Subject E-Subject S-Action
2024년 6월 12일부터 이천이십일년 십월 삼십일까지 방어 먹기 일정 등록하다,B-Date I-Date E-Date B-Date I-Date E-Date B-Subject E-Subject O S-Action
이월 셋째 주 출근하기 말해주다,B-Date I-Date E-Date S-Subject S-Action
1월 첫째 주부터 주까지 일정 청소하기 등록하다,B-Date B-Date E-Date E-Date O S-Subject S-Action
8월 6일 밥 먹기 잡다,B-Date E-Date B-Subject E-Subject S-Action
넷째 주 응답하다,B-Date E-Date S-Action
둘째 주 월요일부터 일요일까지 옷 사기 잡다,B-Date I-Date E-Date S-Date B-Subject E-Subject S-Action
수요일 말해주다,S-Date S-Action
이십일일 후 회의 일정 정해,B-Date E-Date S-Subject O S-Action
삼십일 후 게임하기 잡다,B-Date E-Date S-Subject S-Action
20일 뒤 18시 일정 노래 부르러 가기 추가하다,B-Date E-Date S-Time O B-Subject I-Subject E-Subject S-Action
토요일 일요일 치과 가기 올리다,B-Date E-Date B-Subject E-Subject S-Action
내일 후 노래 부르러 가기 짜다,B-Date E-Date B-Subject I-Subject E-Subject S-Action
구월 둘째 주부터 셋째 주까지 일정 응답하다 옷 사기,B-Date I-Date E-Date B-Date E-Date O S-Action B-Subject E-Subject
월요일 토요일 5시 7분 설정하다 청소하기,B-Date E-Date B-Time E-Time S-Action S-Subject
사개월 후 일정 실행하다 여행 가기,B-Date E-Date O S-Action B-Subject E-Subject
십구일 뒤 열다섯시 일정 응답하다,B-Date E-Date S-Time O S-Action
오늘 짜다,S-Date S-Action
둘째 주 일정 시내 가기 때리다,B-Date E-Date O B-Subject E-Subject S-Action
십이월 8일부터 십일월 이십육일까지 일정 실행하다,B-Date E-Date B-Date E-Date O S-Action
일주일 후 방어 먹기 설정하다,B-Date E-Date B-Subject E-Subject S-Action
10월 셋째 주부터 주까지 일정 설정하다,B-Date B-Date E-Date E-Date O S-Action
27일 이십이시 구분에 일정 짜다,S-Date B-Time E-Time O S-Action
8월 둘째 주 헬스장 가기 일정 지정해주다,B-Date I-Date E-Date B-Subject E-Subject O S-Action
