question,label
수빈 전화,S-Target O
민이 전화,S-Target O
경원 전화,S-Target O
세훈 전화,S-Target O
천우 전화,S-Target O
설아 전화,S-Target O
제니 전화,S-Target O
소담 전화,S-Target O
다솜 전화,S-Target O
가이 전화,S-Target O
규빈 전화,S-Target O
그리 전화,S-Target O
보담 전화,S-Target O
가브리엘 전화,S-Target O
동찬 전화,S-Target O
성현 전화,S-Target O
방지 전화,S-Target O
형근이 전화,S-Target O
이천우 전화,S-Target O
이경원 전화,S-Target O
박세훈 전화,S-Target O
김민이 전화,S-Target O
연락 이천우,O S-Target
연락 민이,O S-Target
연락 경원,O S-Target
연락 세훈,O S-Target
연락 천우,O S-Target
연락 설아,O S-Target
연락 제니,O S-Target
연락 소담,O S-Target
연락 다솜,O S-Target
연락 가이,O S-Target
연락 규빈,O S-Target
연락 그리,O S-Target
연락 보담,O S-Target
연락 가브리엘,O S-Target
연락 수빈,O S-Target
연락 동찬,O S-Target
연락 성현,O S-Target
연락 방지,O S-Target
연락 형근이,O S-Target
연락 이경원,O S-Target
연락 박세훈,O S-Target
연락 김민이,O S-Target
무전 가이,O S-Target
무전 민이,O S-Target
무전 경원,O S-Target
무전 세훈,O S-Target
무전 천우,O S-Target
무전 설아,O S-Target
무전 제니,O S-Target
무전 소담,O S-Target
무전 다솜,O S-Target
무전 규빈,O S-Target
무전 그리,O S-Target
무전 보담,O S-Target
무전 가브리엘,O S-Target
무전 수빈,O S-Target
무전 동찬,O S-Target
무전 성현,O S-Target
무전 방지,O S-Target
무전 형근이,O S-Target
무전 이천우,O S-Target
무전 이경원,O S-Target
무전 박세훈,O S-Target
무전 김민이,O S-Target
통화 설아,O S-Target
통화 민이,O S-Target
통화 경원,O S-Target
통화 세훈,O S-Target
통화 천우,O S-Target
통화 제니,O S-Target
통화 소담,O S-Target
통화 다솜,O S-Target
통화 가이,O S-Target
통화 규빈,O S-Target
통화 그리,O S-Target
통화 보담,O S-Target
통화 가브리엘,O S-Target
통화 수빈,O S-Target
통화 동찬,O S-Target
통화 성현,O S-Target
통화 방지,O S-Target
통화 형근이,O S-Target
통화 이천우,O S-Target
통화 이경원,O S-Target
통화 박세훈,O S-Target
통화 김민이,O S-Target
연락 다솜한테,O S-Target
연락 민이,O S-Target
연락 경원,O S-Target
연락 세훈,O S-Target
연락 천우,O S-Target
연락 설아,O S-Target
연락 제니,O S-Target
연락 소담,O S-Target
연락 다솜,O S-Target
연락 가이,O S-Target
연락 규빈,O S-Target
연락 그리,O S-Target
연락 보담,O S-Target
연락 가브리엘,O S-Target
연락 수빈,O S-Target
연락 동찬,O S-Target
연락 성현,O S-Target
연락 방지,O S-Target
연락 형근이,O S-Target
연락 이천우,O S-Target
연락 이경원,O S-Target
연락 박세훈,O S-Target
연락 김민이,O S-Target
전화 제니에게,O S-Target
전화 민이,O S-Target
전화 경원,O S-Target
전화 세훈,O S-Target
전화 천우,O S-Target
전화 설아,O S-Target
전화 제니,O S-Target
전화 소담,O S-Target
전화 다솜,O S-Target
전화 가이,O S-Target
전화 규빈,O S-Target
전화 그리,O S-Target
전화 보담,O S-Target
전화 가브리엘,O S-Target
전화 수빈,O S-Target
전화 동찬,O S-Target
전화 성현,O S-Target
전화 방지,O S-Target
전화 형근이,O S-Target
전화 이천우,O S-Target
전화 이경원,O S-Target
전화 박세훈,O S-Target
전화 김민이,O S-Target
송보담에게 통화,S-Target O
민이 통화,S-Target O
경원 통화,S-Target O
세훈 통화,S-Target O
천우 통화,S-Target O
설아 통화,S-Target O
제니 통화,S-Target O
소담 통화,S-Target O
다솜 통화,S-Target O
가이 통화,S-Target O
규빈 통화,S-Target O
그리 통화,S-Target O
보담 통화,S-Target O
가브리엘 통화,S-Target O
수빈 통화,S-Target O
동찬 통화,S-Target O
성현 통화,S-Target O
방지 통화,S-Target O
형근이 통화,S-Target O
이천우 통화,S-Target O
이경원 통화,S-Target O
박세훈 통화,S-Target O
김민이 통화,S-Target O
무전 박세훈한테,O S-Target
무전 민이,O S-Target
무전 경원,O S-Target
무전 세훈,O S-Target
무전 천우,O S-Target
무전 설아,O S-Target
무전 제니,O S-Target
무전 소담,O S-Target
무전 다솜,O S-Target
무전 가이,O S-Target
무전 규빈,O S-Target
무전 그리,O S-Target
무전 보담,O S-Target
무전 가브리엘,O S-Target
무전 수빈,O S-Target
무전 동찬,O S-Target
무전 성현,O S-Target
무전 방지,O S-Target
무전 형근이,O S-Target
무전 이천우,O S-Target
무전 이경원,O S-Target
무전 박세훈,O S-Target
무전 김민이,O S-Target
교신해 박세훈에게,O S-Target
교신해 민이,O S-Target
교신해 경원,O S-Target
교신해 세훈,O S-Target
교신해 천우,O S-Target
교신해 설아,O S-Target
교신해 제니,O S-Target
교신해 소담,O S-Target
교신해 다솜,O S-Target
교신해 가이,O S-Target
교신해 규빈,O S-Target
교신해 그리,O S-Target
교신해 보담,O S-Target
교신해 가브리엘,O S-Target
교신해 수빈,O S-Target
교신해 동찬,O S-Target
교신해 성현,O S-Target
교신해 방지,O S-Target
교신해 형근이,O S-Target
교신해 이천우,O S-Target
교신해 이경원,O S-Target
교신해 박세훈,O S-Target
교신해 김민이,O S-Target
연결해 하그리한테,O S-Target
연결해 민이,O S-Target
연결해 경원,O S-Target
연결해 세훈,O S-Target
연결해 천우,O S-Target
연결해 설아,O S-Target
연결해 제니,O S-Target
연결해 소담,O S-Target
연결해 다솜,O S-Target
연결해 가이,O S-Target
연결해 규빈,O S-Target
연결해 그리,O S-Target
연결해 보담,O S-Target
연결해 가브리엘,O S-Target
연결해 수빈,O S-Target
연결해 동찬,O S-Target
연결해 성현,O S-Target
연결해 방지,O S-Target
연결해 형근이,O S-Target
연결해 이천우,O S-Target
연결해 이경원,O S-Target
연결해 박세훈,O S-Target
