question,label
수빈 전화,S-Target O
연락 이천우,O S-Target
무전 가이,O S-Target
통화 설아,O S-Target
연락 다솜한테,O S-Target
전화 제니에게,O S-Target
송보담에게 통화,S-Target O
무전 박세훈한테,O S-Target
교신해 박세훈에게,O S-Target
연결해 하그리한테,O S-Target
송신해 소담한테,O S-Target
설아에게 걸어,S-Target O
이규빈한테 발신해,S-Target O
이규빈 걸어,S-Target O
다솜 발신해,S-Target O
수빈 송신해,S-Target O
김민이 교신해,S-Target O
가이 연결해,S-Target O
이천우 발신해주실 수 있으십니까,S-Target O O O
교신해라 다솜,O S-Target
걸어봐줘 소담,O S-Target
송보담 발신해봐주라,S-Target O
설아 걸어봐다오,S-Target O
설아 발신하니,S-Target O
제니 교신해주실 수 있으십니까,S-Target O O O
연결했느냐 이천우,O S-Target
소담 송신해줘,S-Target O
발신했어 이천우,O S-Target
소담 연결하니,S-Target O
소담 걸어보자고,S-Target O
송신해주라 제니,O S-Target
연결하자 하그리,O S-Target
이경원 송신했느냐,S-Target O
소담 연결해주실 수 있나요,S-Target O O O
김민이 발신해봐,S-Target O
교신해주시겠습니까 설아,O S-Target
발신하는거 어때 박세훈,O O S-Target
연결해주시겠습니까 다솜,O S-Target
수빈 걸었을까,S-Target O
수빈 교신하고 싶어,S-Target O O
김민이 송신해주겠니,S-Target O
송보담 교신했냐고,S-Target O
송신해봐 하그리,O S-Target
걸어쥬 소담,O S-Target
송신해줄래요 가브리엘,O S-Target
박세훈 거는거 어때,S-Target O O
발신했냐 수빈,O S-Target
송보담 송신하자,S-Target O
송신해봐봐 수빈,O S-Target
연결해쥬 이경원,O S-Target
걸어주시겠습니까 김민이,O S-Target
연결해봐봐 김민이,O S-Target
이규빈 교신했을까,S-Target O
송신했니 가이,O S-Target
발신했느냐 송보담,O S-Target
교신해보자 이경원,O S-Target
제니 교신해줄 수 있으십니까,S-Target O O O
이천우 발신했나,S-Target O
발신해보자 설아,O S-Target
연결해주겠니 이경원,O S-Target
제니 발신해주시겠습니까,S-Target O
연결해봐 가이,O S-Target
다솜 송신해주세요,S-Target O
가브리엘 교신해줘봐,S-Target O
교신해달라고 했지 이경원,O O S-Target
교신해보자고 제니,O S-Target
설아 발신해봐봐,S-Target O
송신해주련 수빈,O S-Target
소담 걸어봐주라,S-Target O
이천우 연결해줄 수 있으십니까,S-Target O O O
이경원 연결했어,S-Target O
발신했을까 수빈,O S-Target
다솜 걸어줄래,S-Target O
걸어줘 가이,O S-Target
송신해라 이규빈,O S-Target
다솜 걸어줄 수 있느냐,S-Target O O O
발신해봐보자 김민이,O S-Target
다솜 교신해봐줘,S-Target O
걸었냐 박세훈,O S-Target
송보담 걸었어,S-Target O
연결해볼래 이규빈,O S-Target
김민이 발신해봐다오,S-Target O
박세훈 발신해줄래,S-Target O
발신하자 설아,O S-Target
송신해주실 수 있나요 제니,O O O S-Target
연결해줘봐 김민이,O S-Target
발신해달라고 했지 송보담,O O S-Target
하그리 교신합시다,S-Target O
걸었나 제니,O S-Target
수빈 거니,S-Target O
이경원 걸어봐봐,S-Target O
설아 발신해줄래요,S-Target O
거냐 이경원,O S-Target
이경원 발신해쥬,S-Target O
걸어주실 수 있나요 제니,O O O S-Target
겁시다 가브리엘,O S-Target
다솜 연결해봐주라,S-Target O
가이 송신하니,S-Target O
송신해봐다오 이천우,O S-Target
소담 연결하는거 어때,S-Target O O
수빈 송신했을까,S-Target O
연결해봐보자 이규빈,O S-Target
송신해봐주라 송보담,O S-Target
가이 교신해볼래,S-Target O
하그리 연결해볼까,S-Target O
송신해봐줘 이규빈,O S-Target
교신해봐보자 가이,O S-Target
다솜 연결했냐,S-Target O
가브리엘 송신해줄 수 있으십니까,S-Target O O O
다솜 송신했나,S-Target O
제니 송신해줘봐,S-Target O
발신해줄 수 있느냐 제니,O O O S-Target
이천우 걸어주련,S-Target O
가이 교신했느냐,S-Target O
설아 송신해줄 수 있어,S-Target O O O
발신해야 겠어 제니,O O S-Target
발신하고 싶어 송보담,O O S-Target
이천우 교신해줄 수 있냐,S-Target O O O
걸어보자 설아,O S-Target
송신하는거 어때 제니,O O S-Target
발신하냐 다솜,O S-Target
연결합시다 박세훈,O S-Target
가이 송신해보자,S-Target O
박세훈 송신해줄 수 있느냐,S-Target O O O
송신해다오 이경원,O S-Target
연결해봐줘 제니,O S-Target
교신해줄 수 있느냐 이규빈,O O O S-Target
교신하니 이천우,O S-Target
다솜 연결해줄 수 있느냐,S-Target O O O
김민이 걸었냐고,S-Target O
박세훈 교신하는거 어때,S-Target O O
이규빈 교신해줄래요,S-Target O
이천우 발신해주실 수 있나요,S-Target O O O
소담 발신해줘봐,S-Target O
이규빈 교신해주라,S-Target O
걸었느냐 다솜,O S-Target
가이 발신해라,S-Target O
연결해라 가브리엘,O S-Target
교신해봐 가브리엘,O S-Target
연결했나 설아,O S-Target
